Head_Type,Head_Entity,Relation,Tail_Type,Tail_Entity,Description
Protein,Transthyretin,is_involved_in,Pathological_Change,amyloid fibril deposition,转甲状腺素蛋白参与淀粉样纤维沉积
Protein,Transthyretin,has_mutation,Gene,T119M,T119M基因突变与转甲状腺素蛋白相关
Protein,TTR,is_reduced_in,Pathological_Change,vascular alterations,TTR蛋白在血管改变中减少
Protein,Transthyretin,is_involved_in,Pathological_Change,non-amyloid aggregate formation,转甲状腺素蛋白参与非淀粉样聚集体的形成
Protein,Transthyretin,transports,Protein,retinol,转甲状腺素蛋白运输视黄醇
Protein,TTR,suppresses,Pathological_Change,T cell proliferation,TTR蛋白抑制T细胞增殖
Protein,TTR,is_reduced_in,Pathological_Change,AD mouse model,TTR蛋白在AD小鼠模型中减少
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(12-28) recognition element co-aggregation,转甲状腺素蛋白参与β-淀粉样蛋白(12-28)识别元件的共聚集
Protein,TTR,is_reduced_in,Pathological_Change,collagen IV deposition,TTR蛋白在IV型胶原沉积中减少
Protein,TTR,is_reduced_in,Pathological_Change,AD mice carrying one copy of TTR gene,TTR蛋白在携带一个TTR基因拷贝的AD小鼠中减少
<Treatment,resveratrol,decreases,Pathological_Change,amyloid burden,白藜芦醇减少AD小鼠模型的脑Aβ负担>
Protein,TTR,enhances,Pathological_Change,cell migration,TTR蛋白增强细胞迁移
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ clearance,转甲状腺素蛋白参与β-淀粉样蛋白清除
Protein,TTR,represses,Pathological_Change,vessel formation,TTR蛋白抑制新血管形成
Protein,TTR,is_increased_in,Pathological_Change,diabetes type II,TTR蛋白在2型糖尿病中增加
Protein,TTR,affects,Pathological_Change,cell growth,TTR蛋白影响细胞生长
Disease,Alzheimer's disease,has_pathological_change,Pathological_Change,senile plaques,阿尔茨海默病的病理改变包括老年斑的形成
Protein,Transthyretin,is_synthesized_by,Brain_Region,liver,转甲状腺素蛋白主要由肝脏合成
Protein,TTR,is_reduced_in,Pathological_Change,choroid plexus,TTR蛋白在脉络丛中减少
Protein,Transthyretin,prevents,Pathological_Change,Aβ toxicity,转甲状腺素蛋白防止β-淀粉样蛋白毒性
<Protein,TTR,transports,Protein,amyloid-beta,TTR可能将Aβ肽运输到其膜受体>
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(12-28) recognition element co-binding,转甲状腺素蛋白参与β-淀粉样蛋白(12-28)识别元件的共结合
Protein,TTR,protects_against,Disease,Alzheimer's disease,TTR蛋白对阿尔茨海默病具有保护作用
<Protein,TTR,cleaves,Protein,amyloid-beta,TTR的蛋白水解活性形式能够切割Aβ肽及其聚集体>
Protein,Transthyretin,is_involved_in,Pathological_Change,micron scale deposit formation,转甲状腺素蛋白参与微米级沉积物的形成
<Protein,TTR,activates,Pathway,Akt pathway,TTR与IGF-I协同作用激活Akt通路>
Protein,Transthyretin,is_involved_in,Pathological_Change,Aβ(12-28) region interaction,转甲状腺素蛋白参与β-淀粉样蛋白(12-28)区域的相互作用
